1,robot,Robot Shaped Hat&Scarf,hat/small/hat1-small.png,hat/big/hat1-big.png,0,15,16,0,0,0,0
2,owl,owl with star hat&scarf,hat/small/owl-small.png,hat/big/owl-big.png,0,14.8,15,15.5,16,0,0
3,monkey,cute monkey hat&scarf,hat/small/monkey-small.png,hat/big/monkey-big.png,0,0,16,16.5,16.8,0,0
4,bee,lillte bee hat&scarf,hat/small/bee-small.png,hat/big/bee-big.png,0,15.8,16.3,0,0,0,0
5,cute_hat,cute soft velboa hat,hat/small/CUTEBABY-small.png,hat/big/CUTEBABY-BIG.png,0,0,12,13,0,0,0
6,dinosaur,cool dinosaur hat,hat/small/dinosaur-small.png,hat/big/dinosaur-big.png,0,9.9,9.9,9.9,9.9,0,0
7,bear ,cute bear hat&scarf,hat/small/bear-small.png,hat/big/bear-big.png,0,19.3,19.8,0,0,0,0
8,baseball,baseball hat&scarf,hat/small/baseball-small.png,hat/big/baseball-big.png,0,17.5,18.3,0,0,0,0
9,cat,little cat bat&scarf,hat/small/cat-small.png,hat/big/cat-big.png,0,17.8,18.5,0,0,0,0
10,rabbit,cute rabiite hat,hat/small/rabbit-small.png,hat/big/rabbit-big.png,9.9,9.9,9.9,9.9,0,0,0
11,moustache,cool moustacke hat,hat/small/moustache-small.png,hat/big/moustache-big.png,0,9.9,9.9,9.9,9.9,0,0
12,panda,cute panda hat,hat/small/panda-small.png,hat/big/panda-big.png,0,9.9,9.9,9.9,0,0,0
13,devil,lillte devil hat,hat/small/devil-small.png,hat/big/devil-big.png,0,0,0,9.9,9.9,0,0
